opponent,seed,variant,board_id,games,base_grid_sha256,boards_archive_sha256,score,wins,losses,draws
expander,93000,v10,7,4,08e236f793f92fd5d8c76b908a27f7e68af80b6bc7d050ebba27e85ebef3be3d,9a08352b373684281b86aa42294a704e92893b75829fcfa7223d457f415843da,1.0,4,0,0
juraj-v35,83000,v6,0,4,1527fe93270a9a0531667ae8c51cfe9cd99fac38f8a4a3aa2f4a1b904f37ef49,96700b60728c67853929d292804568d9c52904cef92b9fb04d097e6257a94655,0.5,2,2,0
juraj-v35,83000,v6,1,4,375c739a124be2ab6473c7584a25ec9a2f6b2f1accc5814a85721a6c9c14b5c8,96700b60728c67853929d292804568d9c52904cef92b9fb04d097e6257a94655,0.0,0,4,0
juraj-v35,83000,v6,2,4,5cbfe9e167b6f9c5b2bce16348752a32acd9f6930ee6a29f3138b94a85825457,96700b60728c67853929d292804568d9c52904cef92b9fb04d097e6257a94655,0.5,2,2,0
juraj-v35,83000,v6,3,4,82fc77e5c91db620419b5ae4e404bab1e0c119f22fbc47fd85890f0d524ece56,96700b60728c67853929d292804568d9c52904cef92b9fb04d097e6257a94655,0.5,2,2,0
juraj-v35,83000,v9,0,4,1527fe93270a9a0531667ae8c51cfe9cd99fac38f8a4a3aa2f4a1b904f37ef49,96700b60728c67853929d292804568d9c52904cef92b9fb04d097e6257a94655,0.25,0,2,2
juraj-v35,83000,v9,1,4,375c739a124be2ab6473c7584a25ec9a2f6b2f1accc5814a85721a6c9c14b5c8,96700b60728c67853929d292804568d9c52904cef92b9fb04d097e6257a94655,0.0,0,4,0
juraj-v35,83000,v9,2,4,5cbfe9e167b6f9c5b2bce16348752a32acd9f6930ee6a29f3138b94a85825457,96700b60728c67853929d292804568d9c52904cef92b9fb04d097e6257a94655,0.5,2,2,0
juraj-v35,83000,v9,3,4,82fc77e5c91db620419b5ae4e404bab1e0c119f22fbc47fd85890f0d524ece56,96700b60728c67853929d292804568d9c52904cef92b9fb04d097e6257a94655,0.0,0,4,0
juraj-v35,83000,v10-v6,0,4,1527fe93270a9a0531667ae8c51cfe9cd99fac38f8a4a3aa2f4a1b904f37ef49,96700b60728c67853929d292804568d9c52904cef92b9fb04d097e6257a94655,0.5,2,2,0
juraj-v35,83000,v10-v6,1,4,375c739a124be2ab6473c7584a25ec9a2f6b2f1accc5814a85721a6c9c14b5c8,96700b60728c67853929d292804568d9c52904cef92b9fb04d097e6257a94655,0.0,0,4,0
juraj-v35,83000,v10-v6,2,4,5cbfe9e167b6f9c5b2bce16348752a32acd9f6930ee6a29f3138b94a85825457,96700b60728c67853929d292804568d9c52904cef92b9fb04d097e6257a94655,0.5,2,2,0
juraj-v35,83000,v10-v6,3,4,82fc77e5c91db620419b5ae4e404bab1e0c119f22fbc47fd85890f0d524ece56,96700b60728c67853929d292804568d9c52904cef92b9fb04d097e6257a94655,0.5,2,2,0
juraj-v35,83000,v10,0,4,1527fe93270a9a0531667ae8c51cfe9cd99fac38f8a4a3aa2f4a1b904f37ef49,96700b60728c67853929d292804568d9c52904cef92b9fb04d097e6257a94655,0.5,0,0,4
juraj-v35,83000,v10,1,4,375c739a124be2ab6473c7584a25ec9a2f6b2f1accc5814a85721a6c9c14b5c8,96700b60728c67853929d292804568d9c52904cef92b9fb04d097e6257a94655,0.0,0,4,0
juraj-v35,83000,v10,2,4,5cbfe9e167b6f9c5b2bce16348752a32acd9f6930ee6a29f3138b94a85825457,96700b60728c67853929d292804568d9c52904cef92b9fb04d097e6257a94655,0.5,2,2,0
juraj-v35,83000,v10,3,4,82fc77e5c91db620419b5ae4e404bab1e0c119f22fbc47fd85890f0d524ece56,96700b60728c67853929d292804568d9c52904cef92b9fb04d097e6257a94655,0.0,0,4,0
juraj-v34,83000,v6,0,4,1527fe93270a9a0531667ae8c51cfe9cd99fac38f8a4a3aa2f4a1b904f37ef49,96700b60728c67853929d292804568d9c52904cef92b9fb04d097e6257a94655,1.0,4,0,0
juraj-v34,83000,v6,1,4,375c739a124be2ab6473c7584a25ec9a2f6b2f1accc5814a85721a6c9c14b5c8,96700b60728c67853929d292804568d9c52904cef92b9fb04d097e6257a94655,1.0,4,0,0
juraj-v34,83000,v6,2,4,5cbfe9e167b6f9c5b2bce16348752a32acd9f6930ee6a29f3138b94a85825457,96700b60728c67853929d292804568d9c52904cef92b9fb04d097e6257a94655,0.5,2,2,0
juraj-v34,83000,v6,3,4,82fc77e5c91db620419b5ae4e404bab1e0c119f22fbc47fd85890f0d524ece56,96700b60728c67853929d292804568d9c52904cef92b9fb04d097e6257a94655,1.0,4,0,0
juraj-v34,83000,v9,0,4,1527fe93270a9a0531667ae8c51cfe9cd99fac38f8a4a3aa2f4a1b904f37ef49,96700b60728c67853929d292804568d9c52904cef92b9fb04d097e6257a94655,1.0,4,0,0
juraj-v34,83000,v9,1,4,375c739a124be2ab6473c7584a25ec9a2f6b2f1accc5814a85721a6c9c14b5c8,96700b60728c67853929d292804568d9c52904cef92b9fb04d097e6257a94655,0.75,3,1,0
juraj-v34,83000,v9,2,4,5cbfe9e167b6f9c5b2bce16348752a32acd9f6930ee6a29f3138b94a85825457,96700b60728c67853929d292804568d9c52904cef92b9fb04d097e6257a94655,0.625,2,1,1
juraj-v34,83000,v9,3,4,82fc77e5c91db620419b5ae4e404bab1e0c119f22fbc47fd85890f0d524ece56,96700b60728c67853929d292804568d9c52904cef92b9fb04d097e6257a94655,0.625,2,1,1
juraj-v34,83000,v10-v6,0,4,1527fe93270a9a0531667ae8c51cfe9cd99fac38f8a4a3aa2f4a1b904f37ef49,96700b60728c67853929d292804568d9c52904cef92b9fb04d097e6257a94655,1.0,4,0,0
juraj-v34,83000,v10-v6,1,4,375c739a124be2ab6473c7584a25ec9a2f6b2f1accc5814a85721a6c9c14b5c8,96700b60728c67853929d292804568d9c52904cef92b9fb04d097e6257a94655,1.0,4,0,0
juraj-v34,83000,v10-v6,2,4,5cbfe9e167b6f9c5b2bce16348752a32acd9f6930ee6a29f3138b94a85825457,96700b60728c67853929d292804568d9c52904cef92b9fb04d097e6257a94655,0.5,2,2,0
juraj-v34,83000,v10-v6,3,4,82fc77e5c91db620419b5ae4e404bab1e0c119f22fbc47fd85890f0d524ece56,96700b60728c67853929d292804568d9c52904cef92b9fb04d097e6257a94655,1.0,4,0,0
juraj-v34,83000,v10,0,4,1527fe93270a9a0531667ae8c51cfe9cd99fac38f8a4a3aa2f4a1b904f37ef49,96700b60728c67853929d292804568d9c52904cef92b9fb04d097e6257a94655,1.0,4,0,0
